Logger,Date,Time,D,Day,PAR,Temperature
A,08/10/2021, 21:40:00,2,1.569444444,0,12.9
A,08/10/2021, 21:50:00,2,1.576388889,0,12.9
A,08/10/2021, 22:00:00,2,1.583333333,0,12.9
A,08/10/2021, 22:10:00,2,1.590277778,0,12.9
A,08/10/2021, 22:20:00,2,1.597222222,0,12.9
A,08/10/2021, 22:30:00,2,1.604166667,0,12.9
A,08/10/2021, 22:40:00,2,1.611111111,0,13
A,08/10/2021, 22:50:00,2,1.618055556,0,13
A,08/10/2021, 23:00:00,2,1.625,0,13
A,08/10/2021, 23:10:00,2,1.631944444,0,13
A,08/10/2021, 23:20:00,2,1.638888889,0,13
A,08/10/2021, 23:30:00,2,1.645833333,0,13
A,08/10/2021, 23:40:00,2,1.652777778,0,13
A,08/10/2021, 23:50:00,2,1.659722222,0,13
A,08/10/2021, 24:00:00,2,1.666666667,0,13
A,09/10/2021, 00:10:00,2,1.673611111,0,13
A,09/10/2021, 00:20:00,2,1.680555556,0,13
A,09/10/2021, 00:30:00,2,1.6875,0,13
A,09/10/2021, 00:40:00,2,1.694444444,0,13
A,09/10/2021, 00:50:00,2,1.701388889,0,13
A,09/10/2021, 01:00:00,2,1.708333333,0,13
A,09/10/2021, 01:10:00,2,1.715277778,0,13
A,09/10/2021, 01:20:00,2,1.722222222,0,13
A,09/10/2021, 01:30:00,2,1.729166667,0,13
A,09/10/2021, 01:40:00,2,1.736111111,0,13
A,09/10/2021, 01:50:00,2,1.743055556,0,13
A,09/10/2021, 02:00:00,2,1.75,0,13
A,09/10/2021, 02:10:00,2,1.756944444,0,13
A,09/10/2021, 02:20:00,2,1.763888889,0,13
A,09/10/2021, 02:30:00,2,1.770833333,0,13
A,09/10/2021, 02:40:00,2,1.777777778,0,13
A,09/10/2021, 02:50:00,2,1.784722222,0,12.9
A,09/10/2021, 03:00:00,2,1.791666667,0,13
A,09/10/2021, 03:10:00,2,1.798611111,0,13
A,09/10/2021, 03:20:00,2,1.805555556,0,12.9
A,09/10/2021, 03:30:00,2,1.8125,0,12.9
A,09/10/2021, 03:40:00,2,1.819444444,0,12.9
A,09/10/2021, 03:50:00,2,1.826388889,0,12.9
A,09/10/2021, 04:00:00,2,1.833333333,0,12.9
A,09/10/2021, 04:10:00,2,1.840277778,0,12.9
A,09/10/2021, 04:20:00,2,1.847222222,0,12.9
A,09/10/2021, 04:30:00,2,1.854166667,0,12.9
A,09/10/2021, 04:40:00,2,1.861111111,0,12.9
A,09/10/2021, 04:50:00,2,1.868055556,0,12.9
A,09/10/2021, 05:00:00,2,1.875,0,12.9
A,09/10/2021, 05:10:00,2,1.881944444,0,12.9
A,09/10/2021, 05:20:00,2,1.888888889,0,12.9
A,09/10/2021, 05:30:00,2,1.895833333,0,12.9
A,09/10/2021, 05:40:00,2,1.902777778,0,12.9
A,09/10/2021, 05:50:00,2,1.909722222,0,12.9
A,09/10/2021, 06:00:00,2,1.916666667,0,12.9
A,09/10/2021, 06:10:00,2,1.923611111,0,12.9
A,09/10/2021, 06:20:00,2,1.930555556,0,12.9
A,09/10/2021, 06:30:00,2,1.9375,1,12.9
A,09/10/2021, 06:40:00,2,1.944444444,3,12.9
A,09/10/2021, 06:50:00,2,1.951388889,9,12.9
A,09/10/2021, 07:00:00,2,1.958333333,16,12.9
A,09/10/2021, 07:10:00,2,1.965277778,28,12.9
A,09/10/2021, 07:20:00,2,1.972222222,62,12.9
A,09/10/2021, 07:30:00,2,1.979166667,96,12.9
A,09/10/2021, 07:40:00,2,1.986111111,81,12.9
A,09/10/2021, 07:50:00,2,1.993055556,111,12.9
A,09/10/2021, 08:00:00,2,2,157,12.9
A,09/10/2021, 08:10:00,3,2.006944444,245,12.9
A,09/10/2021, 08:20:00,3,2.013888889,283,12.9
A,09/10/2021, 08:30:00,3,2.020833333,310,12.9
A,09/10/2021, 08:40:00,3,2.027777778,432,12.9
A,09/10/2021, 08:50:00,3,2.034722222,419,12.9
A,09/10/2021, 09:00:00,3,2.041666667,501,12.9
A,09/10/2021, 09:10:00,3,2.048611111,500,12.9
A,09/10/2021, 09:20:00,3,2.055555556,314,12.9
A,09/10/2021, 09:30:00,3,2.0625,110,12.9
A,09/10/2021, 09:40:00,3,2.069444444,32,12.9
A,09/10/2021, 09:50:00,3,2.076388889,17,12.9
A,09/10/2021, 10:00:00,3,2.083333333,20,12.9
A,09/10/2021, 10:10:00,3,2.090277778,35,12.9
A,09/10/2021, 10:20:00,3,2.097222222,39,12.9
A,09/10/2021, 10:30:00,3,2.104166667,26,12.9
A,09/10/2021, 10:40:00,3,2.111111111,48,12.9
A,09/10/2021, 10:50:00,3,2.118055556,87,12.9
A,09/10/2021, 11:00:00,3,2.125,75,13
A,09/10/2021, 11:10:00,3,2.131944444,162,13
A,09/10/2021, 11:20:00,3,2.138888889,230,13
A,09/10/2021, 11:30:00,3,2.145833333,347,13
A,09/10/2021, 11:40:00,3,2.152777778,419,13
A,09/10/2021, 11:50:00,3,2.159722222,384,13
A,09/10/2021, 12:00:00,3,2.166666667,668,13
A,09/10/2021, 12:10:00,3,2.173611111,506,13
A,09/10/2021, 12:20:00,3,2.180555556,353,13
A,09/10/2021, 12:30:00,3,2.1875,560,13
A,09/10/2021, 12:40:00,3,2.194444444,474,13
A,09/10/2021, 12:50:00,3,2.201388889,656,13
A,09/10/2021, 13:00:00,3,2.208333333,455,13
A,09/10/2021, 13:10:00,3,2.215277778,238,13
A,09/10/2021, 13:20:00,3,2.222222222,198,13
A,09/10/2021, 13:30:00,3,2.229166667,162,13
A,09/10/2021, 13:40:00,3,2.236111111,248,13
A,09/10/2021, 13:50:00,3,2.243055556,119,13
A,09/10/2021, 14:00:00,3,2.25,294,13
A,09/10/2021, 14:10:00,3,2.256944444,366,13
A,09/10/2021, 14:20:00,3,2.263888889,488,13
A,09/10/2021, 14:30:00,3,2.270833333,649,13.1
A,09/10/2021, 14:40:00,3,2.277777778,567,13.1
A,09/10/2021, 14:50:00,3,2.284722222,189,13.1
A,09/10/2021, 15:00:00,3,2.291666667,96,13.1
A,09/10/2021, 15:10:00,3,2.298611111,289,13
A,09/10/2021, 15:20:00,3,2.305555556,303,13
A,09/10/2021, 15:30:00,3,2.3125,332,13
A,09/10/2021, 15:40:00,3,2.319444444,308,13
A,09/10/2021, 15:50:00,3,2.326388889,321,13
A,09/10/2021, 16:00:00,3,2.333333333,381,13
A,09/10/2021, 16:10:00,3,2.340277778,437,13
A,09/10/2021, 16:20:00,3,2.347222222,346,13
A,09/10/2021, 16:30:00,3,2.354166667,173,13
A,09/10/2021, 16:40:00,3,2.361111111,118,13
A,09/10/2021, 16:50:00,3,2.368055556,148,13
A,09/10/2021, 17:00:00,3,2.375,134,13
A,09/10/2021, 17:10:00,3,2.381944444,116,13
A,09/10/2021, 17:20:00,3,2.388888889,83,13
A,09/10/2021, 17:30:00,3,2.395833333,58,13
A,09/10/2021, 17:40:00,3,2.402777778,32,13
A,09/10/2021, 17:50:00,3,2.409722222,12,13
A,09/10/2021, 18:00:00,3,2.416666667,3,13
A,09/10/2021, 18:10:00,3,2.423611111,0,13
A,09/10/2021, 18:20:00,3,2.430555556,0,13
A,09/10/2021, 18:30:00,3,2.4375,0,13
A,09/10/2021, 18:40:00,3,2.444444444,0,13
A,09/10/2021, 18:50:00,3,2.451388889,0,13
A,09/10/2021, 19:00:00,3,2.458333333,0,13
A,09/10/2021, 19:10:00,3,2.465277778,0,13
A,09/10/2021, 19:20:00,3,2.472222222,0,13
A,09/10/2021, 19:30:00,3,2.479166667,0,12.9
A,09/10/2021, 19:40:00,3,2.486111111,0,12.9
A,09/10/2021, 19:50:00,3,2.493055556,0,13
A,09/10/2021, 20:00:00,3,2.5,0,13
A,09/10/2021, 20:10:00,3,2.506944444,0,12.9
A,09/10/2021, 20:20:00,3,2.513888889,0,12.9
A,09/10/2021, 20:30:00,3,2.520833333,0,12.9
A,09/10/2021, 20:40:00,3,2.527777778,0,12.9
A,09/10/2021, 20:50:00,3,2.534722222,0,12.9
A,09/10/2021, 21:00:00,3,2.541666667,0,12.9
A,09/10/2021, 21:10:00,3,2.548611111,0,12.9
A,09/10/2021, 21:20:00,3,2.555555556,0,12.9
A,09/10/2021, 21:30:00,3,2.5625,0,12.9
A,09/10/2021, 21:40:00,3,2.569444444,0,12.9
A,09/10/2021, 21:50:00,3,2.576388889,0,12.9
A,09/10/2021, 22:00:00,3,2.583333333,0,12.9
A,09/10/2021, 22:10:00,3,2.590277778,0,12.9
A,09/10/2021, 22:20:00,3,2.597222222,0,12.9
A,09/10/2021, 22:30:00,3,2.604166667,0,12.9
A,09/10/2021, 22:40:00,3,2.611111111,0,12.9
A,09/10/2021, 22:50:00,3,2.618055556,0,12.9
A,09/10/2021, 23:00:00,3,2.625,0,12.9
A,09/10/2021, 23:10:00,3,2.631944444,0,12.9
A,09/10/2021, 23:20:00,3,2.638888889,0,12.9
A,09/10/2021, 23:30:00,3,2.645833333,0,13
A,09/10/2021, 23:40:00,3,2.652777778,0,13
A,09/10/2021, 23:50:00,3,2.659722222,0,13
A,09/10/2021, 24:00:00,3,2.666666667,0,13
A,10/10/2021, 00:10:00,3,2.673611111,0,13
A,10/10/2021, 00:20:00,3,2.680555556,0,13
A,10/10/2021, 00:30:00,3,2.6875,0,13
A,10/10/2021, 00:40:00,3,2.694444444,0,13
A,10/10/2021, 00:50:00,3,2.701388889,0,13
A,10/10/2021, 01:00:00,3,2.708333333,0,13
A,10/10/2021, 01:10:00,3,2.715277778,0,13
A,10/10/2021, 01:20:00,3,2.722222222,0,13
A,10/10/2021, 01:30:00,3,2.729166667,0,13
A,10/10/2021, 01:40:00,3,2.736111111,0,13
A,10/10/2021, 01:50:00,3,2.743055556,0,13
A,10/10/2021, 02:00:00,3,2.75,0,13
A,10/10/2021, 02:10:00,3,2.756944444,0,13
A,10/10/2021, 02:20:00,3,2.763888889,0,13
A,10/10/2021, 02:30:00,3,2.770833333,0,13
A,10/10/2021, 02:40:00,3,2.777777778,0,13
A,10/10/2021, 02:50:00,3,2.784722222,0,13
A,10/10/2021, 03:00:00,3,2.791666667,0,13
A,10/10/2021, 03:10:00,3,2.798611111,0,12.9
A,10/10/2021, 03:20:00,3,2.805555556,0,12.9
A,10/10/2021, 03:30:00,3,2.8125,0,12.9
A,10/10/2021, 03:40:00,3,2.819444444,0,12.9
A,10/10/2021, 03:50:00,3,2.826388889,0,13
A,10/10/2021, 04:00:00,3,2.833333333,0,13
A,10/10/2021, 04:10:00,3,2.840277778,0,12.9
A,10/10/2021, 04:20:00,3,2.847222222,0,12.9
A,10/10/2021, 04:30:00,3,2.854166667,0,12.9
A,10/10/2021, 04:40:00,3,2.861111111,0,12.9
A,10/10/2021, 04:50:00,3,2.868055556,0,12.9
A,10/10/2021, 05:00:00,3,2.875,0,12.9
A,10/10/2021, 05:10:00,3,2.881944444,0,12.9
A,10/10/2021, 05:20:00,3,2.888888889,0,12.9
A,10/10/2021, 05:30:00,3,2.895833333,0,12.9
A,10/10/2021, 05:40:00,3,2.902777778,0,12.9
A,10/10/2021, 05:50:00,3,2.909722222,0,12.9
A,10/10/2021, 06:00:00,3,2.916666667,0,12.9
A,10/10/2021, 06:10:00,3,2.923611111,0,12.9
A,10/10/2021, 06:20:00,3,2.930555556,0,12.9
A,10/10/2021, 06:30:00,3,2.9375,2,12.9
A,10/10/2021, 06:40:00,3,2.944444444,13,12.9
A,10/10/2021, 06:50:00,3,2.951388889,38,12.9
A,10/10/2021, 07:00:00,3,2.958333333,86,12.9
A,10/10/2021, 07:10:00,3,2.965277778,147,12.9
A,10/10/2021, 07:20:00,3,2.972222222,223,12.9
A,10/10/2021, 07:30:00,3,2.979166667,287,12.9
A,10/10/2021, 07:40:00,3,2.986111111,369,12.9
A,10/10/2021, 07:50:00,3,2.993055556,453,12.9
A,10/10/2021, 08:00:00,3,3,604,12.9
A,10/10/2021, 08:10:00,4,3.006944444,847,12.9
A,10/10/2021, 08:20:00,4,3.013888889,1243,12.9
A,10/10/2021, 08:30:00,4,3.020833333,1191,12.9
A,10/10/2021, 08:40:00,4,3.027777778,1345,12.9
A,10/10/2021, 08:50:00,4,3.034722222,2072,12.9
A,10/10/2021, 09:00:00,4,3.041666667,2385,12.9
A,10/10/2021, 09:10:00,4,3.048611111,2841,12.9
A,10/10/2021, 09:20:00,4,3.055555556,2672,12.9
A,10/10/2021, 09:30:00,4,3.0625,2425,12.9
A,10/10/2021, 09:40:00,4,3.069444444,3033,12.9
A,10/10/2021, 09:50:00,4,3.076388889,1006,12.9
A,10/10/2021, 10:00:00,4,3.083333333,359,12.9
A,10/10/2021, 10:10:00,4,3.090277778,308,12.9
A,10/10/2021, 10:20:00,4,3.097222222,113,12.9
A,10/10/2021, 10:30:00,4,3.104166667,89,12.9
A,10/10/2021, 10:40:00,4,3.111111111,66,12.9
A,10/10/2021, 10:50:00,4,3.118055556,45,12.9
A,10/10/2021, 11:00:00,4,3.125,49,12.9
A,10/10/2021, 11:10:00,4,3.131944444,647,12.9
A,10/10/2021, 11:20:00,4,3.138888889,583,13
A,10/10/2021, 11:30:00,4,3.145833333,1221,13
A,10/10/2021, 11:40:00,4,3.152777778,1120,13
A,10/10/2021, 11:50:00,4,3.159722222,1278,13
A,10/10/2021, 12:00:00,4,3.166666667,1084,13
A,10/10/2021, 12:10:00,4,3.173611111,1268,13
A,10/10/2021, 12:20:00,4,3.180555556,884,13
A,10/10/2021, 12:30:00,4,3.1875,655,13
A,10/10/2021, 12:40:00,4,3.194444444,676,13
A,10/10/2021, 12:50:00,4,3.201388889,900,13
A,10/10/2021, 13:00:00,4,3.208333333,968,13
A,10/10/2021, 13:10:00,4,3.215277778,1183,13
A,10/10/2021, 13:20:00,4,3.222222222,1307,13
A,10/10/2021, 13:30:00,4,3.229166667,938,13
A,10/10/2021, 13:40:00,4,3.236111111,724,13
A,10/10/2021, 13:50:00,4,3.243055556,520,13
A,10/10/2021, 14:00:00,4,3.25,444,13
A,10/10/2021, 14:10:00,4,3.256944444,471,13
A,10/10/2021, 14:20:00,4,3.263888889,941,13
A,10/10/2021, 14:30:00,4,3.270833333,750,13
A,10/10/2021, 14:40:00,4,3.277777778,495,13
A,10/10/2021, 14:50:00,4,3.284722222,602,13
A,10/10/2021, 15:00:00,4,3.291666667,479,13
A,10/10/2021, 15:10:00,4,3.298611111,506,13
A,10/10/2021, 15:20:00,4,3.305555556,303,13
A,10/10/2021, 15:30:00,4,3.3125,335,13
